year,tavg,tmin,tmax,prcp,GDD,extreme_high,extreme_low
2017,12.93274647887324,6.5876760563380286,19.067957746478875,0.0,2769.3,70,104
2018,12.582394366197184,6.242957746478873,18.797535211267604,0.0,2758.6,66,104
2019,13.103296703296703,6.135164835164836,19.71245421245421,0.0,2741.9,85,99
2020,13.078947368421053,6.801052631578947,20.634736842105262,0.0,2805.0,80,95
2021,11.855,5.463846153846154,19.252307692307692,0.0,2296.4,56,94
2022,12.22972972972973,5.613175675675675,19.844932432432433,0.0,2785.1,83,106
2023,13.675778546712804,6.843598615916955,21.31868512110727,0.0,3068.6,79,103
2024,13.288214285714284,6.861071428571428,20.4925,0.0,2797.3,74,105
2025,12.293181818181818,5.310984848484848,19.426136363636363,0.0,2418.7,65,108
2026,5.673737373737374,-1.8202020202020202,12.882828282828283,0.0,394.5,0,61
