season,environment_factor,number_of_correlations,mean_r,median_r,std_r,mean_absolute_r,median_absolute_r,std_absolute_r,Environmental Factor
Autumn,humidity,89,-0.06455168016344431,-0.29447717615843677,0.5937434234718701,0.5573974167826263,0.5912253809329806,0.20621118762301224,Humidity
Autumn,prcp,89,-0.03585229855913988,-0.2913538522345949,0.5361043252202723,0.4947120087668993,0.47127612494598037,0.2029451498473428,Precipitation
Autumn,temperature,89,-0.09955343025664971,-0.2038051994048437,0.47522405937303674,0.42872355804539375,0.4218963880361624,0.2235371244312384,Temperature
Spring,humidity,172,-0.12685041380336903,-0.24960078904450095,0.5107257558771344,0.47990292184506145,0.4550802125238597,0.21300771559464962,Humidity
Spring,prcp,172,-0.010260275184787518,-0.12124149852245966,0.5191585321264982,0.4634408217153538,0.4639775892733973,0.23151256330526773,Precipitation
Spring,temperature,172,-0.0690589409068475,-0.163606522382658,0.4912612589074044,0.44395895992018475,0.4442463643112736,0.2188206215745621,Temperature
Summer,humidity,77,-0.03443291637673188,-0.09940040796275003,0.4727469927177942,0.4178288318316945,0.4143766616432979,0.21866159915949157,Humidity
Summer,prcp,77,-0.14211881135364032,-0.25328950522218663,0.4942557917725425,0.4641371705884292,0.4991120826665829,0.21562577256906046,Precipitation
Summer,temperature,77,-0.16608633570601372,-0.19357927654518056,0.4492790556064187,0.4179411264303417,0.44426128987452057,0.2298394207110786,Temperature
Winter,humidity,66,0.014962895268142888,0.14938283503776584,0.5067663247543133,0.4592720789082345,0.4371041062997755,0.20703504105686366,Humidity
Winter,prcp,66,0.15616482352533984,0.3363011990236137,0.5265405285114736,0.49997077594267914,0.5022277680757857,0.21952469288801893,Precipitation
Winter,temperature,66,0.035952545198155,0.000678665916977475,0.5006502680902188,0.4518069922271279,0.4271635943493951,0.21140754340525864,Temperature
